case,use_extra_similarity,use_contrastive,use_dual_view_cl,use_attention_fusion,k_similarity,acc,f1,precision,recall,aupr,auc
baseline,0,0,0,0,25,0.9743534458301654,0.9744955536496186,0.9691256186660382,0.9799253299440542,0.9916058018205107,0.9938939149131202
extra_only,1,0,0,0,25,0.973357655950341,0.9735742445261739,0.9657234091251654,0.9815537726535105,0.9911056198871642,0.9934221633896643
dual_view_only,1,0,1,0,25,0.9775394060439623,0.9775828432441309,0.9756959163487353,0.979477082647723,0.9937522834909914,0.995321025609309
attention_only,1,0,0,1,25,0.9745605474291031,0.9747487405346498,0.9675908066797488,0.9820133679826603,0.9928237803374245,0.9944130814424942
full_proposed,1,1,1,1,25,0.9768840571486933,0.9772334825395229,0.9626813907911831,0.9922322715357292,0.9931662165735144,0.9950160664635026
