CID000006617	12.176752090454102 0.0 8.736404418945312 1.7534526586532593 5.833894729614258 7.215795516967773 1.8317195177078247 4.540294647216797 0.4757576584815979 2.826782703399658 6.512084007263184 3.7918004989624023 0.0 7.364370346069336 6.475096702575684 1.4760839939117432
CID000006655	12.57384967803955 0.0 8.854405403137207 5.833614349365234 3.2606401443481445 3.3150436878204346 4.131378173828125 7.593925476074219 7.41565465927124 9.737482070922852 13.615861892700195 2.6078734397888184 0.0 2.8399658203125 11.471685409545898 1.9140660762786865
CID000007463	10.270480155944824 0.0 11.93974494934082 2.974984884262085 3.952605724334717 9.175483703613281 5.372434616088867 8.923678398132324 6.019308567047119 2.952268123626709 9.421089172363281 5.001325607299805 0.0 5.31043004989624 10.534804344177246 2.7588984966278076
CID000007464	10.991023063659668 0.0 10.806861877441406 4.731709003448486 2.065095901489258 6.745948791503906 5.076216697692871 8.090797424316406 3.8822572231292725 2.1568350791931152 7.084250450134277 6.834685325622559 0.0 3.6334502696990967 8.924432754516602 2.9133706092834473
CID000014900	17.818693161010742 0.0 15.707685470581055 10.70052719116211 1.0455307960510254 3.768831491470337 5.738853454589844 3.860821008682251 5.14199686050415 15.951931953430176 14.360958099365234 3.6115012168884277 0.0 2.4129345417022705 14.243934631347656 3.05436110496521
CID000022316	11.935271263122559 0.0 4.082120895385742 4.770038604736328 4.4408793449401855 0.1165984719991684 1.7048062086105347 4.489442348480225 5.344995021820068 6.453269958496094 10.1971435546875 3.42185115814209 0.0 1.1281243562698364 7.748266220092773 1.3031654357910156
CID000026052	4.820756912231445 0.0 2.0432496070861816 1.308963656425476 3.361697196960449 0.8044400215148926 3.4331278800964355 2.9024856090545654 3.2769381999969482 2.778385639190674 6.015962600708008 2.1732258796691895 0.0 1.8038188219070435 3.977356433868408 0.023642219603061676
CID000031254	3.633150100708008 0.0 4.986122131347656 0.4531399607658386 1.833609700202942 1.901402473449707 3.797109603881836 4.043389797210693 4.96976900100708 5.5822367668151855 7.014949798583984 3.056705951690674 0.0 2.191446542739868 4.24552059173584 0.6847085952758789
CID000091458	6.081887245178223 0.0 9.953145980834961 17.86362648010254 11.304312705993652 1.2358043193817139 1.6666349172592163 6.067682266235352 5.910162448883057 4.739591598510742 8.743743896484375 4.1761579513549805 0.0 5.885525703430176 11.772069931030273 2.003777503967285
CID000445072	22.223058700561523 0.0 6.839386940002441 17.76197624206543 12.50741958618164 8.675503730773926 0.9915350079536438 14.860587120056152 14.49177074432373 7.638731956481934 15.60830307006836 5.972978591918945 0.0 2.055320978164673 13.778081893920898 3.366006851196289
CID005281516	6.389520645141602 0.0 12.785902976989746 4.815489768981934 2.3452439308166504 3.486224412918091 0.9041241407394409 3.556452751159668 11.9695405960083 7.521368026733398 8.994218826293945 2.630368232727051 0.0 5.883181095123291 7.990750312805176 2.1632192134857178
CID005317326	10.066420555114746 0.0 20.12729835510254 8.542308807373047 6.908449649810791 6.442354202270508 7.646979808807373 13.475334167480469 2.6812655925750732 10.658493041992188 4.463039398193359 6.459715366363525 0.0 3.5302541255950928 10.670589447021484 3.6043076515197754
CID046883040	19.563425064086914 0.0 9.373401641845703 8.759032249450684 10.02688980102539 9.603334426879883 4.753204822540283 17.62586212158203 7.085819721221924 8.424304962158203 14.658563613891602 2.036005735397339 0.0 6.985134124755859 17.591800689697266 1.5658588409423828
CID000000241	4.783388137817383 0.0 1.3819321393966675 0.6802561283111572 2.6929163932800293 0.7962276935577393 1.7082735300064087 2.6215853691101074 1.6703416109085083 1.9932364225387573 3.894669532775879 2.022167444229126 0.0 2.752690076828003 7.138393402099609 0.9482018947601318
CID000000245	5.627978324890137 0.0 10.873273849487305 17.84157371520996 11.88467025756836 3.9030392169952393 4.4422454833984375 7.000224590301514 9.47605037689209 10.219675064086914 14.84981632232666 5.321712970733643 0.0 4.043179035186768 8.847976684570312 1.129043459892273
CID000000461	16.234193801879883 0.0 13.281927108764648 6.8134307861328125 2.4917306900024414 5.976391792297363 5.415203094482422 4.375633239746094 4.8286051750183105 18.463634490966797 15.033509254455566 3.8764281272888184 0.0 2.90028977394104 12.424083709716797 2.035696268081665
CID000002538	17.292966842651367 0.0 10.96731185913086 13.170621871948242 15.100266456604004 11.37691593170166 5.930858612060547 12.951065063476562 14.027029991149902 6.605788230895996 9.824348449707031 3.2111878395080566 0.0 7.873664379119873 20.1607608795166 2.227344274520874
CID000004134	15.690621376037598 0.0 8.835229873657227 9.503484725952148 7.424255847930908 6.089151382446289 4.841063022613525 10.99948787689209 5.353796482086182 13.336526870727539 11.269497871398926 3.254790782928467 0.0 5.603878021240234 17.399234771728516 3.1331636905670166
CID000006550	6.089275360107422 0.0 4.525425434112549 2.932920217514038 3.690918445587158 3.5981252193450928 4.311435699462891 1.0932565927505493 2.9391138553619385 3.350213050842285 6.640505790710449 2.8439464569091797 0.0 3.2165369987487793 5.8040947914123535 0.28962603211402893
CID000007362	5.145414352416992 0.0 5.769671440124512 1.8528923988342285 6.549371242523193 1.7876172065734863 4.331089019775391 5.648119926452637 4.9540839195251465 4.290955066680908 4.4729180335998535 2.69413161277771 0.0 2.911123037338257 11.231948852539062 2.3719446659088135
CID000008164	14.93099308013916 0.0 11.092887878417969 5.262728214263916 1.5866256952285767 3.34370756149292 4.8158793449401855 2.5833001136779785 5.370764255523682 15.98348617553711 9.871109008789062 2.960813522338867 0.0 4.171316623687744 9.607071876525879 1.9772770404815674
CID000008859	9.859570503234863 0.0 3.268001079559326 4.140329360961914 3.548053741455078 0.6608471870422363 3.1426305770874023 4.235256671905518 3.866774797439575 4.648880958557129 7.839956283569336 4.309780597686768 0.0 1.952593445777893 3.4425101280212402 0.8851877450942993
CID000010365	14.391757011413574 0.0 4.332493782043457 5.4997711181640625 10.537671089172363 6.140285015106201 1.0920449495315552 9.197375297546387 6.860188961029053 5.524783134460449 8.211458206176758 4.439141273498535 0.0 5.806735992431641 7.624136924743652 1.4588667154312134
CID000011002	10.965885162353516 0.0 8.720226287841797 3.181381940841675 0.7154886722564697 3.1539227962493896 6.561640739440918 1.782645344734192 4.108029842376709 7.793229103088379 8.43147087097168 1.0681276321411133 0.0 3.7226040363311768 9.182144165039062 1.3430066108703613
CID000011174	7.083323955535889 0.0 2.9150915145874023 4.237373352050781 3.393008232116699 0.09041617810726166 3.448723554611206 3.1427175998687744 3.000601053237915 3.1160359382629395 6.803491592407227 3.490288257598877 0.0 2.360016107559204 2.7873780727386475 0.4582161605358124
CID000011232	10.908982276916504 0.0 8.131916046142578 3.9400761127471924 8.303458213806152 7.540096282958984 5.609953880310059 10.696463584899902 7.367478370666504 9.000875473022461 5.818750381469727 0.15780766308307648 0.0 8.232259750366211 11.426109313964844 1.8824145793914795
CID000012367	13.285920143127441 0.0 14.631816864013672 5.161708831787109 0.0 5.780494213104248 4.5436906814575195 2.2341744899749756 5.12255334854126 8.866140365600586 11.53228759765625 2.8701367378234863 0.0 2.7402963638305664 12.78521728515625 2.728888750076294
CID000014510	9.707928657531738 0.0 5.316471099853516 3.735546350479126 3.3640027046203613 1.5478527545928955 3.5295939445495605 5.073268890380859 3.2381293773651123 0.7780551910400391 3.198057174682617 3.3438143730163574 0.0 3.510183572769165 6.7249345779418945 1.6810234785079956
CID000020747	20.885093688964844 0.0 6.293038368225098 11.810003280639648 10.56852912902832 10.230337142944336 8.651021003723145 11.071856498718262 4.564427852630615 16.179384231567383 4.1155500411987305 4.950164794921875 0.0 4.563394069671631 12.911506652832031 2.2017431259155273
CID000022388	12.732690811157227 0.0 11.931720733642578 6.560915470123291 11.00562858581543 12.3818941116333 7.201849937438965 12.013455390930176 7.113264560699463 17.92768096923828 10.697722434997559 2.027438163757324 0.0 6.421723365783691 17.724327087402344 2.3184313774108887
CID000031266	14.841530799865723 0.0 12.623310089111328 5.623072624206543 0.4881788492202759 2.593616247177124 4.451735496520996 3.102898359298706 6.57343053817749 15.144587516784668 10.532747268676758 1.9256929159164429 0.0 2.534855365753174 10.575301170349121 2.7056198120117188
CID000064686	6.688857078552246 0.0 9.770164489746094 1.7142103910446167 2.1205081939697266 4.929962158203125 4.347726821899414 5.3728485107421875 5.8920769691467285 5.82108211517334 11.280237197875977 5.879418849945068 0.0 2.1582956314086914 7.059081077575684 2.0554516315460205
CID000066066	12.41447925567627 0.0 16.405858993530273 14.515387535095215 9.581881523132324 14.541755676269531 5.664196491241455 2.488224744796753 15.386893272399902 11.840568542480469 20.43407440185547 8.104896545410156 0.0 6.971773147583008 19.314075469970703 2.953145742416382
CID005281168	7.159183979034424 0.0 9.860124588012695 0.3709620237350464 1.3136571645736694 2.1646788120269775 5.609596252441406 3.7184512615203857 6.985193729400635 10.067826271057129 9.97945785522461 1.6593753099441528 0.0 3.1721866130828857 9.770777702331543 1.7986276149749756
CID005318624	6.69890832901001 0.0 13.789544105529785 4.745140075683594 15.029994010925293 2.7240402698516846 2.515239715576172 13.326371192932129 17.944873809814453 11.079710006713867 2.761857509613037 5.51503849029541 0.0 2.5401575565338135 16.54953384399414 2.9908597469329834
CID110260582	17.0408992767334 0.0 10.543876647949219 14.519280433654785 13.653443336486816 16.13764762878418 10.867295265197754 10.678147315979004 10.466158866882324 13.28547477722168 6.930393695831299 2.707409143447876 0.0 7.964971542358398 16.36550521850586 3.6215665340423584
CID100009018	17.236923217773438 0.0 11.044890403747559 11.561779975891113 14.946660995483398 13.91107177734375 6.0487751960754395 12.472999572753906 10.978570938110352 12.381485939025879 10.700807571411133 3.782191753387451 0.0 7.652890205383301 15.309649467468262 3.1727232933044434
CID105280459	13.499878883361816 0.0 9.436912536621094 11.481828689575195 7.571098327636719 11.298986434936523 6.316033363342285 5.603626251220703 3.7427685260772705 6.618796348571777 8.688913345336914 7.422774791717529 0.0 5.821131229400635 14.210405349731445 3.3379127979278564
CID116109773	19.23129653930664 0.0 13.37777328491211 15.690914154052734 8.564606666564941 9.926885604858398 6.634183883666992 7.275456428527832 7.145214080810547 7.882132053375244 12.681245803833008 5.948937892913818 0.0 3.1104376316070557 12.75498104095459 3.1610167026519775
CID100122118	19.73795509338379 0.0 17.481504440307617 11.284944534301758 6.075038433074951 18.724103927612305 5.439626693725586 15.86605167388916 8.940194129943848 17.25218963623047 18.562501907348633 8.302391052246094 0.0 8.41173267364502 18.230121612548828 4.823958873748779
CID100011005	12.197491645812988 0.0 12.994909286499023 8.927947044372559 6.5611491203308105 9.834455490112305 10.610220909118652 14.912165641784668 0.0 11.702640533447266 11.531722068786621 6.9275360107421875 0.0 2.2206761837005615 7.6850199699401855 0.9939074516296387
CID105281673	13.506549835205078 0.0 14.305231094360352 11.259546279907227 6.337306499481201 8.443778038024902 8.549274444580078 15.080231666564941 6.6055731773376465 4.7958526611328125 8.564395904541016 5.987828254699707 0.0 3.8213374614715576 15.842666625976562 2.9878337383270264
CID105281672	15.759308815002441 0.0 6.723845481872559 11.052938461303711 3.2545108795166016 9.502726554870605 6.002337455749512 13.059575080871582 6.358416557312012 3.8848843574523926 10.855480194091797 5.41819429397583 0.0 5.092923641204834 16.849361419677734 3.7820026874542236
CID100008892	23.35276222229004 0.0 16.516632080078125 6.785946369171143 8.487293243408203 14.097482681274414 7.803267478942871 17.01801300048828 4.643931865692139 12.494384765625 16.124217987060547 7.758208274841309 0.0 4.095163345336914 20.439224243164062 3.5436158180236816
CID100007128	11.044478416442871 0.0 13.723094940185547 4.946229934692383 10.130200386047363 8.263664245605469 9.05805492401123 7.131959915161133 1.0931583642959595 11.669240951538086 12.250972747802734 1.1146906614303589 0.0 4.205873012542725 14.746275901794434 0.41837644577026367
CID100003327	19.589256286621094 0.0 10.719195365905762 16.090429306030273 12.89106273651123 13.960078239440918 4.255544662475586 9.721085548400879 9.613443374633789 13.714933395385742 17.67491340637207 6.5045366287231445 0.0 4.142861366271973 21.524415969848633 3.651747941970825
CID100003893	8.028464317321777 0.0 9.538531303405762 4.494892597198486 11.334781646728516 11.972959518432617 7.727539539337158 12.68369197845459 0.0 12.578472137451172 12.965655326843262 2.863370418548584 0.0 6.7645368576049805 17.02799415588379 0.0
CID105280863	13.830074310302734 0.0 11.56281852722168 10.224679946899414 4.647069931030273 5.269460678100586 5.6222453117370605 8.977334022521973 2.415883779525757 0.33069491386413574 4.335672378540039 5.351823806762695 0.0 4.305900573730469 11.201261520385742 3.138035535812378
CID100092812	20.55809211730957 0.0 5.02440071105957 12.421991348266602 16.22425079345703 17.084463119506836 5.895837306976318 11.3073148727417 12.030277252197266 7.788557052612305 13.273601531982422 4.167922496795654 0.0 9.945755004882812 17.207294464111328 1.760801076889038
CID100821411	10.215264320373535 0.0 3.7180442810058594 11.205402374267578 10.66195011138916 9.842769622802734 6.606719970703125 10.599884986877441 6.261325836181641 8.89970874786377 5.880392074584961 2.855048179626465 0.0 5.917520523071289 19.516830444335938 0.6303822994232178
CID010441164	0.0 0.0 14.295368194580078 15.571998596191406 13.88245677947998 8.377775192260742 1.516050100326538 2.1771578788757324 15.494234085083008 11.41960334777832 16.485580444335938 7.967746734619141 0.0 5.632054805755615 16.51957130432129 1.0727903842926025
CID100011092	19.698026657104492 0.0 8.093868255615234 12.425422668457031 7.5468525886535645 11.354795455932617 5.6185622215271 12.102560997009277 5.449629306793213 9.987970352172852 13.876680374145508 0.8966890573501587 0.0 9.369721412658691 17.181177139282227 3.4381258487701416
CID100014005	13.426153182983398 0.0 7.3671064376831055 9.140713691711426 6.879673957824707 7.342355728149414 8.521049499511719 15.720890045166016 2.5720460414886475 17.850194931030273 8.815439224243164 3.9663007259368896 0.0 3.184664011001587 13.53671646118164 1.0618772506713867
CID100000307	15.50586986541748 0.0 12.885963439941406 16.686403274536133 13.124754905700684 13.65185260772705 5.145368576049805 13.183893203735352 9.500786781311035 13.16240119934082 11.957695960998535 8.520896911621094 0.0 9.352256774902344 11.859636306762695 4.441202163696289
CID010260582	0.8178173303604126 0.0 12.84200382232666 16.68848419189453 13.177729606628418 8.535666465759277 0.0 1.3623218536376953 14.596031188964844 8.744804382324219 16.194189071655273 7.355823516845703 0.0 6.798443794250488 17.518089294433594 0.784279465675354
CID005280459	0.07557892054319382 0.0 15.39999771118164 7.854408264160156 21.873958587646484 5.113180160522461 6.226959228515625 12.10155963897705 13.322163581848145 11.814414024353027 2.295077323913574 6.6638383865356445 0.0 5.978235244750977 18.48682975769043 1.0645811557769775
CID016109773	1.0585306882858276 0.0 14.658285140991211 17.913400650024414 14.295998573303223 10.474071502685547 0.31942611932754517 3.7830212116241455 12.880610466003418 6.918712615966797 17.159273147583008 7.287939071655273 0.0 9.325081825256348 16.852577209472656 0.5074220895767212
CID000122118	21.361024856567383 0.0 18.85638999938965 18.463333129882812 19.398839950561523 17.09544563293457 3.4150261878967285 12.814208030700684 10.538739204406738 17.99071502685547 26.19327163696289 6.934814453125 0.0 5.855759620666504 26.774276733398438 4.175784111022949
CID000011005	18.04215431213379 0.0 9.480231285095215 2.9027154445648193 4.003114223480225 3.4596617221832275 2.376220226287842 2.991204023361206 6.3695526123046875 15.544950485229492 15.147117614746094 2.2054965496063232 0.0 2.287317991256714 14.522236824035645 1.7488585710525513
CID005281673	1.1187849044799805 0.0 11.982675552368164 7.248878002166748 20.73381996154785 3.0707991123199463 5.524181365966797 9.069174766540527 10.959930419921875 10.661548614501953 0.09505221247673035 5.899932861328125 0.0 4.645215034484863 12.975847244262695 0.22538748383522034
CID005281672	3.602496862411499 0.0 7.017665863037109 0.347159743309021 16.37067222595215 0.9599599838256836 5.116883277893066 6.336519718170166 9.630845069885254 6.196527481079102 0.9315885305404663 4.811286926269531 0.0 1.8293139934539795 8.739773750305176 0.22543931007385254
CID000008892	17.562726974487305 0.0 9.232213973999023 3.09340500831604 4.336928844451904 3.3360536098480225 2.751483917236328 3.548215627670288 6.245047092437744 14.787711143493652 15.450959205627441 1.9042423963546753 0.0 2.304354429244995 13.764373779296875 1.4964148998260498
CID000003893	18.04215431213379 0.0 9.480231285095215 2.9027154445648193 4.003114223480225 3.4596617221832275 2.376220226287842 2.991204023361206 6.3695526123046875 15.544950485229492 15.147117614746094 2.2054965496063232 0.0 2.287317991256714 14.522236824035645 1.7488585710525513
CID005280863	3.493180513381958 0.0 9.062749862670898 1.0158252716064453 15.898195266723633 1.5417752265930176 4.024958610534668 9.202300071716309 13.039172172546387 6.110522270202637 0.0 4.799167633056641 0.0 3.3681066036224365 11.641057968139648 1.3252445459365845
CID000092812	5.479813575744629 0.0 7.516356945037842 4.396255016326904 8.573960304260254 9.431005477905273 2.6370792388916016 0.0 7.297788619995117 7.850490570068359 11.883304595947266 4.845399856567383 0.0 6.319583892822266 12.041316986083984 0.5624737739562988
CID000821411	12.795135498046875 0.0 10.724942207336426 4.075273513793945 6.768063068389893 3.419426679611206 6.25430965423584 6.103409767150879 7.293618679046631 8.746877670288086 7.03767728805542 0.6558226346969604 0.0 1.9522961378097534 9.772756576538086 2.016228675842285
CID000011092	9.856841087341309 0.0 11.287890434265137 4.533413410186768 10.368042945861816 7.4012651443481445 3.166534423828125 11.428743362426758 7.540302753448486 13.736019134521484 5.615497589111328 5.09347677230835 0.0 8.114456176757812 6.704545974731445 1.6169623136520386
CID000014005	2.5637400150299072 0.0 10.799891471862793 4.924384117126465 14.340381622314453 6.6231255531311035 6.0898237228393555 15.376250267028809 11.227848052978516 14.07396125793457 8.41916561126709 7.216956615447998 0.0 2.1040449142456055 14.543092727661133 0.5211536884307861
CID000000893	9.391979217529297 0.0 8.061119079589844 2.7458860874176025 4.055039405822754 2.2882566452026367 5.1790266036987305 5.6800360679626465 4.57914400100708 6.828521728515625 10.52100658416748 1.819002628326416 0.0 2.8662612438201904 8.424589157104492 0.4466594159603119
CID000000987	12.574271202087402 0.0 9.256874084472656 10.886234283447266 4.563405513763428 3.8973171710968018 3.621568202972412 8.377705574035645 6.336565017700195 10.897275924682617 13.448286056518555 1.842187762260437 0.0 4.126826763153076 5.563375473022461 1.3236818313598633
CID000003030	14.578354835510254 0.0 8.084125518798828 4.220615386962891 8.254422187805176 8.885615348815918 4.655196666717529 10.492852210998535 4.505026340484619 11.7953462600708 7.91837215423584 6.722939491271973 0.0 6.488353729248047 6.85786771774292 1.1591380834579468
CID000003318	16.183515548706055 0.0 17.777883529663086 7.4664154052734375 3.781949520111084 7.788275718688965 5.2682342529296875 8.873283386230469 7.326583385467529 13.702404022216797 15.752710342407227 4.00433349609375 0.0 4.441564083099365 15.48401927947998 3.6207597255706787
CID000006138	18.501758575439453 0.0 13.262360572814941 12.273172378540039 0.609552264213562 4.506098747253418 5.18425989151001 4.790567398071289 6.900265216827393 20.440692901611328 13.719672203063965 2.756901264190674 0.0 4.541051387786865 13.499658584594727 3.0431854724884033
CID000006450	11.897770881652832 0.0 14.89381217956543 5.484167575836182 12.178336143493652 10.105578422546387 5.658301830291748 13.176287651062012 9.923576354980469 6.102919578552246 9.079545974731445 5.102320671081543 0.0 3.6294546127319336 16.789020538330078 3.4384765625
CID000006988	9.957666397094727 0.0 6.922815322875977 4.870935440063477 8.8922758102417 7.721909046173096 5.480037689208984 2.205471992492676 10.518956184387207 8.471957206726074 10.084505081176758 4.614295959472656 0.0 1.8359532356262207 7.854345321655273 1.5627460479736328
CID000007132	14.023770332336426 0.0 11.474855422973633 1.8969296216964722 3.6468000411987305 6.873758316040039 6.633272647857666 5.037403583526611 1.732139229774475 8.52934741973877 7.45361328125 0.6944862008094788 0.0 7.150880813598633 20.47283172607422 1.742393970489502
CID000007441	12.731732368469238 0.0 9.69190788269043 5.062878131866455 6.233108043670654 5.992097854614258 7.498987674713135 10.843831062316895 5.665432453155518 2.836825370788574 7.923079967498779 1.4072808027267456 0.0 3.7083382606506348 7.605059623718262 0.9335832595825195
CID000007461	9.000290870666504 0.0 11.69039249420166 4.835840225219727 4.350853443145752 8.963865280151367 5.898312568664551 6.979617595672607 7.754837512969971 2.821526288986206 9.308074951171875 4.2863006591796875 0.0 4.209727764129639 8.917677879333496 2.200425148010254
CID000009863	3.632605791091919 0.0 1.8518272638320923 1.2946909666061401 1.3521839380264282 0.4702189564704895 2.5514702796936035 1.1389973163604736 1.7553216218948364 1.3337599039077759 3.323181629180908 1.8679581880569458 0.0 2.591308355331421 2.8402693271636963 0.3206688165664673
CID000010409	7.856790542602539 0.0 3.3405280113220215 1.4858049154281616 5.548682689666748 5.201455116271973 5.630124092102051 2.075814723968506 5.537868022918701 3.694760322570801 5.244633674621582 3.8944754600524902 0.0 0.894920825958252 4.580504417419434 0.7353514432907104
CID000010820	14.611344337463379 0.0 9.761634826660156 5.068467140197754 8.227972984313965 8.661487579345703 1.7138005495071411 9.435662269592285 6.017005920410156 7.332945823669434 12.945368766784668 6.992724895477295 0.0 4.040656089782715 10.83320426940918 3.0038182735443115
CID000011006	10.861385345458984 0.0 8.696836471557617 1.521466851234436 0.0 3.084895133972168 5.066999912261963 0.0 3.0310399532318115 8.331396102905273 6.993438720703125 0.40840160846710205 0.0 3.741159200668335 10.068328857421875 1.5200634002685547
CID000011529	13.815478324890137 0.0 9.18912124633789 6.8072509765625 1.3302491903305054 2.928928852081299 5.7316460609436035 4.033149242401123 4.864587783813477 13.820219039916992 10.32486343383789 1.6862878799438477 0.0 3.9972288608551025 8.323664665222168 1.636718988418579
CID000014357	11.838104248046875 0.0 5.615522384643555 3.9902071952819824 11.408927917480469 6.738467216491699 0.5346786975860596 8.560105323791504 5.843617916107178 6.1313605308532715 8.218875885009766 4.436919212341309 0.0 5.674103736877441 7.890707492828369 0.6327277421951294
CID000016732	9.778742790222168 0.0 10.675111770629883 2.816549777984619 7.020982265472412 7.262674331665039 5.789866924285889 10.969080924987793 7.195667743682861 2.9814913272857666 5.366513252258301 1.4783474206924438 0.0 5.724735736846924 12.002683639526367 1.0836381912231445
CID000017101	7.576386451721191 0.0 6.9564313888549805 5.437160015106201 8.229496955871582 6.195721626281738 6.187047958374023 10.485986709594727 2.0106687545776367 11.902695655822754 4.245938301086426 4.471360683441162 0.0 2.8953168392181396 11.282454490661621 1.9135394096374512
CID000018819	7.048240661621094 0.0 4.184910774230957 10.952606201171875 4.6379828453063965 6.599709987640381 8.217015266418457 1.9078301191329956 4.391510963439941 8.309404373168945 6.8358564376831055 2.752114772796631 0.0 3.9365804195404053 7.703507900238037 1.2578481435775757
CID000018830	27.551584243774414 0.0 8.073229789733887 17.45125389099121 14.240260124206543 13.0692720413208 5.584087371826172 7.7251081466674805 9.07988166809082 12.404129028320312 13.638744354248047 6.998044967651367 0.0 0.5699987411499023 21.33171844482422 4.209070205688477
CID000022311	11.402506828308105 0.0 12.779948234558105 5.694217681884766 9.894462585449219 9.536409378051758 4.90402889251709 2.4856746196746826 11.568543434143066 5.2418694496154785 8.921520233154297 2.904115915298462 0.0 6.45747184753418 7.943537712097168 2.253246307373047
