stage,trial_name,k_similarity,contrastive_weight,dual_view_weight,summary_acc,summary_f1,summary_precision,summary_recall,summary_aupr,summary_auc,mean_acc,mean_f1,mean_precision,mean_recall,mean_aupr,mean_auc,std_aupr,std_auc
k_similarity,05_k35_cw0.12_dw0.22,35,0.12,0.22,0.9753889538248545,0.9758412400475656,0.9582314688718614,0.9941103709671928,0.9926382602231532,0.9945024431444378,0.9753889459363517,0.9758498937544593,0.9582758093600144,0.9941084305357224,0.9926986105750524,0.9945668209389614,0.0007076189219629928,0.0005751523308943938
k_similarity,03_k25_cw0.12_dw0.22,25,0.12,0.22,0.9748754553398168,0.9753823573561052,0.9560926430517711,0.9954664608890049,0.9924794300874787,0.9943883236595942,0.9748754546629185,0.975382955382981,0.956096161462766,0.9954677790659451,0.992648731501262,0.9945035887985549,0.0004886084545939932,0.0003571992957381966
contrastive_weight,07_k35_cw0.08_dw0.22,35,0.08,0.22,0.9756641436207033,0.9760785297972615,0.9597363283392195,0.9929869157181602,0.9923852182271905,0.9942648545648826,0.9756641394185067,0.9760804755905197,0.9597450782025507,0.9929858328085448,0.9924126062534562,0.9943055614321897,0.00040634650484573615,0.00032729651104205154
k_similarity,02_k20_cw0.12_dw0.22,20,0.12,0.22,0.9754712270627887,0.9759310502257682,0.9579726302903113,0.9945756403127518,0.9922144027067769,0.9944132322574525,0.9754712262651793,0.975934910103296,0.9579900347452949,0.9945753284983306,0.9923194613675331,0.9945783151338855,0.0003449940975266182,0.00010994246929832092
dual_view_weight,09_k35_cw0.12_dw0.30,35,0.12,0.3,0.9754570420217655,0.9759135773251848,0.958091656052,0.9944110938368834,0.9922043242143375,0.9942335904260446,0.9754570429143794,0.9759144461008542,0.9580977047547128,0.9944134122116562,0.9923069836993973,0.9942851292354378,0.0010308227893703612,0.0005811956398492158
k_similarity,04_k30_cw0.12_dw0.22,30,0.12,0.22,0.9746172875931958,0.9751283612294879,0.9558819522031774,0.9951657380193144,0.9921700634628229,0.9941390362724577,0.9746172868840943,0.9751289704515662,0.9558832782360067,0.995166277082476,0.9922977105114829,0.9942069822044435,0.0005565475950429238,0.00042467706249022717
contrastive_weight,08_k35_cw0.16_dw0.22,35,0.16,0.22,0.9734512772210937,0.9740459285555803,0.9527067350991222,0.9963629554816672,0.9918248066125539,0.9940835002778351,0.9734512860979375,0.9740506745320061,0.9527385907430691,0.9963655565678158,0.9920560026840842,0.9942492706198796,0.0010912291554335185,0.0007182073756996877
k_similarity,01_k15_cw0.12_dw0.22,15,0.12,0.22,0.9751591561602796,0.9756195355571643,0.9578672265415696,0.9940422827702817,0.9915325171214227,0.9942204021577661,0.9751591559663115,0.9756203427567997,0.9578812187528035,0.994041829394563,0.9918745627145638,0.9943756789513772,0.0005995154434467973,0.00019353888501762794
k_similarity,06_k40_cw0.12_dw0.22,40,0.12,0.22,0.9719051077495716,0.9725746284157092,0.9499369749035689,0.9963175633503932,0.9906641949881905,0.9930366178669657,0.971905114936142,0.9725917340182507,0.9500232944957758,0.9963199814776335,0.9913797223866311,0.9935763710935761,0.0015714902523359968,0.0009962765175933164
