herbid,diseaseId
HERB000018,HBDIS013617
HERB000018,HBDIS013630
HERB000018,HBDIS013644
HERB000018,HBDIS013742
HERB000018,HBDIS013744
HERB000018,HBDIS013780
HERB000018,HBDIS013789
HERB000018,HBDIS013825
HERB000018,HBDIS013829
HERB000018,HBDIS013989
HERB000018,HBDIS014261
HERB000018,HBDIS014262
HERB000018,HBDIS014349
HERB000018,HBDIS014479
HERB000018,HBDIS015284
HERB000018,HBDIS015285
HERB000018,HBDIS015686
HERB000018,HBDIS016097
HERB000018,HBDIS018879
HERB000018,HBDIS018961
HERB000018,HBDIS020954
HERB000018,HBDIS022162
HERB000018,HBDIS022964
HERB000018,HBDIS025997
HERB000018,HBDIS026077
HERB000018,HBDIS026507
HERB000018,HBDIS001263
HERB000018,HBDIS007496
HERB000018,HBDIS014082
HERB000018,HBDIS017299
HERB000018,HBDIS017300
HERB000018,HBDIS018223
HERB000018,HBDIS021165
HERB000018,HBDIS023329
HERB000018,HBDIS025426
HERB000018,HBDIS026221
HERB000018,HBDIS010795
HERB000018,HBDIS006880
HERB000018,HBDIS008585
HERB000018,HBDIS009787
HERB000018,HBDIS012756
HERB000018,HBDIS014141
HERB000018,HBDIS014508
HERB000018,HBDIS019119
HERB000018,HBDIS027684
HERB000018,HBDIS007732
HERB000018,HBDIS011154
HERB000018,HBDIS000334
HERB000018,HBDIS008065
HERB000019,HBDIS006040
HERB000019,HBDIS002380
HERB000019,HBDIS002990
HERB000019,HBDIS011292
HERB000019,HBDIS026792
HERB000019,HBDIS003733
HERB000019,HBDIS000307
HERB000019,HBDIS000740
HERB000019,HBDIS001359
HERB000019,HBDIS002691
HERB000019,HBDIS003040
HERB000019,HBDIS003266
HERB000019,HBDIS004788
HERB000019,HBDIS008612
HERB000019,HBDIS009477
HERB000019,HBDIS010251
HERB000019,HBDIS010930
HERB000019,HBDIS011869
HERB000019,HBDIS012381
HERB000019,HBDIS014100
HERB000019,HBDIS019627
HERB000019,HBDIS019628
HERB000019,HBDIS019629
HERB000019,HBDIS022049
HERB000019,HBDIS009875
HERB000019,HBDIS010238
HERB000019,HBDIS017923
HERB000019,HBDIS019969
HERB000019,HBDIS023393
HERB000029,HBDIS000629
HERB000029,HBDIS002883
HERB000029,HBDIS006542
HERB000029,HBDIS008003
HERB000029,HBDIS009984
HERB000029,HBDIS018598
HERB000029,HBDIS020513
HERB000029,HBDIS022140
HERB000029,HBDIS022790
HERB000029,HBDIS026118
HERB000031,HBDIS000185
HERB000031,HBDIS000981
HERB000031,HBDIS002293
HERB000031,HBDIS002678
HERB000031,HBDIS002872
HERB000031,HBDIS003330
HERB000031,HBDIS004608
HERB000031,HBDIS005222
HERB000031,HBDIS010865
HERB000031,HBDIS011013
HERB000031,HBDIS012336
HERB000031,HBDIS013072
HERB000031,HBDIS013089
HERB000031,HBDIS014588
HERB000031,HBDIS019210
HERB000031,HBDIS023896
HERB000031,HBDIS025743
HERB000032,HBDIS000135
HERB000032,HBDIS000675
HERB000032,HBDIS000757
HERB000032,HBDIS000761
HERB000032,HBDIS001157
HERB000032,HBDIS002052
HERB000032,HBDIS002678
HERB000032,HBDIS002769
HERB000032,HBDIS003330
HERB000032,HBDIS003513
HERB000032,HBDIS003653
HERB000032,HBDIS003881
HERB000032,HBDIS004204
HERB000032,HBDIS004216
HERB000032,HBDIS005499
HERB000032,HBDIS006422
HERB000032,HBDIS010127
HERB000032,HBDIS010762
HERB000032,HBDIS011013
HERB000032,HBDIS011272
