HBTAR000010	0.28274933 0.05749189 -0.6872194 -0.35738552 0.19350968 0.21183015 0.15257892 -0.39020896 -0.31169027 -0.2427374 0.23690638 -0.1257542 -0.013498439 -0.1350387 0.107792385 0.26302174
HBTAR000058	-0.4064018 0.16718762 -0.8967127 -0.557273 0.4526311 0.10156617 0.4245661 -0.20758171 -0.123999625 0.00063091965 0.08467797 -0.28880623 -0.27798605 -0.11131155 0.019094411 0.17293745
HBTAR000063	0.24641502 -0.069586985 -0.06872522 -0.49749407 0.2903028 0.08591104 0.07925848 0.043122783 0.25515488 0.16995844 -0.05520415 -0.09537253 0.16522445 -0.34455967 -0.07591242 0.15223902
HBTAR000066	0.076716505 -0.067395635 -0.18977462 -0.35733268 0.08834379 -0.10780815 -0.017559372 0.02731815 0.2719482 0.20135899 -0.070388645 0.0058860825 0.063148685 -0.34212518 -0.06967208 0.10913902
HBTAR000071	-1.2737142 -0.30121535 -0.6101589 0.1591919 0.081940666 0.11894531 -0.17286642 0.3733796 -0.5738886 0.21887305 -0.008846411 -0.26336214 -0.2993599 0.19442753 0.42407656 0.13129748
HBTAR000077	1.3967384 0.898382 -0.9619743 -0.42247126 0.52913743 0.12189163 0.27074915 -0.2464745 -0.41241163 -0.81820714 -0.04879136 -0.1682341 0.15571141 0.01899049 -0.32728004 0.038970873
HBTAR000082	1.3191643 0.8770294 -1.0234421 -0.31750262 0.4538016 0.07362008 0.3488944 -0.26115167 -0.41677305 -0.726922 -0.08290896 -0.20294957 0.0884163 -0.040684033 -0.29432154 0.07628061
HBTAR000095	1.588928 -0.7254127 0.3419866 -0.49679905 -0.18938947 -0.47506654 -0.05370149 0.1266519 -0.41289717 0.19992906 -0.26941475 0.1113405 0.04893448 -0.007550973 0.072063826 0.026814433
HBTAR000113	0.73005855 0.39152864 1.658171 0.1851437 0.5224939 -0.054716088 0.9594193 0.23099403 -0.19242114 -0.16241838 -0.40961927 0.47744754 -0.2146051 0.05169091 0.1568654 0.047040172
HBTAR000117	-1.063699 -0.5721842 0.31990308 -0.0998544 0.25310355 0.10574571 0.1642551 0.18243593 0.17992346 -0.15306337 0.3468348 0.104532234 0.06775514 0.34358478 -0.5261555 0.13048434
HBTAR000138	1.0447387 0.5382612 -0.9190268 -0.62515706 0.51340175 -0.14330103 0.14384459 -0.13083276 -0.5689589 -0.5454847 0.35235688 -0.021168405 -0.1258331 -0.5450873 -0.08544204 0.09652152
HBTAR000149	-0.086439975 0.21352264 0.6323501 0.2610191 0.22767794 0.12856139 -0.0074838586 -0.1701303 0.039118797 -0.04958856 -0.099144764 0.032616865 0.2076319 0.07635604 -0.095501706 0.010359493
HBTAR000218	-0.5480746 0.26333916 0.56626594 -1.0292279 0.43215007 -0.8248819 1.0450779 1.1934239 0.29673994 0.5191365 0.61673754 0.022251798 -0.038695507 -0.05981742 0.16391604 0.044162706
HBTAR000233	-1.05745 0.00037283346 0.7423215 -0.4747722 -0.40850514 -0.024865186 -0.21807542 -0.20814715 0.047141187 -0.17410378 -0.010948287 -0.072794646 -0.14534117 -0.003724165 -0.09929645 0.08146179
HBTAR000264	1.9037223 0.8027378 0.07867449 -0.98590964 1.1405454 -0.17557599 -0.24297549 -0.4550942 -0.2275321 -0.23550831 0.6191055 -0.23926711 -0.07283459 0.32651868 -0.17187154 0.04685656
HBTAR000335	-0.69700724 -0.5686338 0.97622085 -0.1139776 0.72280884 -0.0114464965 -0.7744178 0.47938988 0.21339314 -0.14249684 0.10961358 -0.08072418 0.32384044 -0.37959114 -0.06366944 -0.027465973
HBTAR000337	1.9055716 -1.2077225 0.46302518 -0.34942943 -0.26806635 -0.1249481 -0.04706815 0.06348803 -0.20951372 0.17036459 -0.041751843 0.03249684 -0.09456647 0.09094658 0.0077728396 -0.0051141563
HBTAR000374	-1.1906027 -0.5242888 0.020485448 0.32949096 -0.06728785 0.2739763 -0.5729587 -0.010044875 -0.2728849 0.009906009 -0.101003006 -0.10821699 0.13332976 0.009897329 0.01848464 0.053344432
HBTAR000430	-0.837753 -1.0475322 -0.13958326 -0.96767914 0.7531793 -0.33565986 0.43500236 -0.19065118 0.44607648 0.12563977 -0.3108336 -0.070508055 0.0064286506 0.47991154 0.16818312 0.055936
HBTAR000472	0.12894306 -0.5892843 -0.37610847 0.041291848 -0.15049683 -0.124023154 -0.18042211 0.029822541 0.1218386 0.4012557 -0.007192077 0.5330086 0.55002946 -0.07996602 0.05877461 -0.1166943
HBTAR000487	-0.9995221 -0.494807 0.14987719 -0.44511655 0.10842566 -0.17461625 -0.4147148 0.3674942 0.17085862 0.115984164 0.4943212 -0.04760057 0.24578725 -0.22215068 0.10301329 -0.09523794
HBTAR000528	-1.3917418 -0.096760735 -0.57975 0.054393034 0.2216422 -0.46294454 -0.27500618 -0.17616439 -0.011167254 0.22142264 -0.18179673 0.11959925 -0.44813424 0.3517613 0.0053396057 0.14742802
